Institute,State
Indian Institute of Technology Bhubaneswar,All India
Indian Institute of Technology Bombay,All India
Indian Institute of Technology Mandi,All India
Indian Institute of Technology Delhi,All India
Indian Institute of Technology Indore,All India
Indian Institute of Technology Kharagpur,All India
Indian Institute of Technology Hyderabad,All India
Indian Institute of Technology Jodhpur,All India
Indian Institute of Technology Kanpur,All India
Indian Institute of Technology Madras,All India
Indian Institute of Technology Gandhinagar,All India
Indian Institute of Technology Patna,All India
Indian Institute of Technology Roorkee,All India
Indian Institute of Technology (ISM) Dhanbad,All India
Indian Institute of Technology Ropar,All India
Indian Institute of Technology (BHU) Varanasi,All India
Indian Institute of Technology Guwahati,All India
Indian Institute of Technology Bhilai,All India
Indian Institute of Technology Goa,All India
Indian Institute of Technology Palakkad,All India
Indian Institute of Technology Tirupati,All India
Indian Institute of Technology Jammu,All India
Indian Institute of Technology Dharwad,All India
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,All India
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",All India
Indian Institute of Information Technology Guwahati,All India
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",All India
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",All India
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",All India
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",All India
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",All India
"Indian Institute of Information Technology, Allahabad",All India
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",All India
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",All India
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,All India
Indian Institute of Information Technology Tiruchirappalli,All India
Indian Institute of Information Technology Lucknow,All India
Indian Institute of Information Technology(IIIT) Dharwad,All India
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",All India
Indian Institute of Information Technology(IIIT) Kottayam,All India
Indian Institute of Information Technology (IIIT) Ranchi,All India
Indian Institute of Information Technology (IIIT) Nagpur,All India
Indian Institute of Information Technology (IIIT) Pune,All India
Indian Institute of Information Technology Bhagalpur,All India
Indian Institute of Information Technology Bhopal,All India
Indian Institute of Information Technology Surat,All India
"Indian Institute of Information Technology, Agartala",All India
"Indian institute of information technology, Raichur, Karnataka",All India
"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",All India
"Gurukula Kangri Vishwavidyalaya, Haridwar",All India
"Indian Institute of Carpet Technology, Bhadohi",All India
"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",All India
"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",All India
"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",All India
"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",All India
"National Institute of Advanced Manufacturing Technology, Ranchi",All India
Sant Longowal Institute of Engineering and Technology,All India
"Mizoram University, Aizawl",All India
"School of Engineering, Tezpur University, Napaam, Tezpur",All India
"School of Planning & Architecture, Bhopal",All India
"School of Planning & Architecture, New Delhi",All India
School of Planning & Architecture: Vijayawada,All India
"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",All India
"International Institute of Information Technology, Naya Raipur",All India
University of Hyderabad,All India
"Jawaharlal Nehru University, Delhi",All India
"International Institute of Information Technology, Bhubaneswar",All India
"Central institute of Technology Kokrajar, Assam",All India
"Central University of Rajasthan, Rajasthan",All India
"National Institute of Food Technology Entrepreneurship and Management, Kundli",All India
"National Institute of Food Technology Entrepreneurship and Management, Thanjavur",All India
"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",All India
"Indian Institute of Handloom Technology(IIHT), Varanasi",All India
"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",All India
"North-Eastern Hill University, Shillong",All India
Central University of Jammu,All India
"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",All India
Central University of Haryana,All India
"Indian Institute of Handloom Technology, Salem",All India
"Gati Shakti Vishwavidyalaya, Vadodara",All India
CU Jharkhand,All India
"National Institute of Technology, Andhra Pradesh",ANDHRA PRADESH
National Institute of Technology Arunachal Pradesh,ARUNACHAL PRADESH
"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",ARUNACHAL PRADESH ASSAM MEGHALAYA MANIPUR MIZORAM NAGALAND SIKKIM TRIPURA
"National Institute of Technology, Silchar",ASSAM
"Assam University, Silchar",ASSAM
National Institute of Technology Patna,BIHAR
"Birla Institute of Technology, Patna Off-Campus",BIHAR
"Punjab Engineering College, Chandigarh",CHANDIGARH (UT)
National Institute of Technology Raipur,CHHATTISGARH
National Institute of Technology Delhi,DELHI (NCT)
National Institute of Technology Goa,GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)
"Sardar Vallabhbhai National Institute of Technology, Surat",GUJARAT
"National Institute of Technology, Kurukshetra",HARYANA
National Institute of Technology Hamirpur,HIMACHAL PRADESH
"National Institute of Technology, Jamshedpur",JHARKHAND
"Birla Institute of Technology, Mesra, Ranchi",JHARKHAND
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND
"National Institute of Technology, Srinagar",JAMMU & KASHMIR (UT) LADAKH (UT)
"National Institute of Technology Karnataka, Surathkal",KARNATAKA
National Institute of Technology Calicut,KERALA
Maulana Azad National Institute of Technology Bhopal,MADHYA PRADESH
"Visvesvaraya National Institute of Technology, Nagpur",MAHARASHTRA
"National Institute of Technology, Manipur",MANIPUR
National Institute of Technology Meghalaya,MEGHALAYA
"National Institute of Technology, Mizoram",MIZORAM
National Institute of Technology Nagaland,NAGALAND
"National Institute of Technology, Rourkela",ODISHA
"Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar",ODISHA
"Puducherry Technological University, Puducherry",PUDUCHERRY (UT)
National Institute of Technology Puducherry,PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",PUNJAB
Malaviya National Institute of Technology Jaipur,RAJASTHAN
National Institute of Technology Sikkim,SIKKIM
"National Institute of Technology, Tiruchirappalli",TAMIL NADU
"National Institute of Technology, Warangal",TELANGANA
National Institute of Technology Agartala,TRIPURA
Motilal Nehru National Institute of Technology Allahabad,UTTAR PRADESH
"National Institute of Technology, Uttarakhand",UTTARAKHAND
National Institute of Technology Durgapur,WEST BENGAL
"Indian Institute of Engineering Science and Technology, Shibpur",WEST BENGAL
